algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
dip,ppl_5_8,char,0.1,0.5328009903430935,0.9528301886792453,0.8113207547169812,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,char,0.2,0.3720207571983342,0.9716981132075472,0.8679245283018868,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,token,0.01,1.042224597930907,0.7547169811320755,0.5754716981132075,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,token,0.05,0.7367594957351679,0.8962264150943396,0.6886792452830188,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,token,0.1,0.5328009903430935,0.9528301886792453,0.7924528301886793,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,token,0.2,0.3720207571983342,0.9716981132075472,0.8679245283018868,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_8_12,char,0.01,1.042224597930907,0.7708333333333334,0.6458333333333334,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,char,0.05,0.7367594957351679,0.9375,0.8125,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,char,0.1,0.5328009903430935,0.9375,0.9166666666666666,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,char,0.2,0.3720207571983342,0.9791666666666666,0.9375,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,token,0.01,1.042224597930907,0.7708333333333334,0.5833333333333334,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,token,0.05,0.7367594957351679,0.9375,0.7916666666666666,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,token,0.1,0.5328009903430935,0.9375,0.8958333333333334,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_8_12,token,0.2,0.3720207571983342,0.9791666666666666,0.9166666666666666,48,outputs/wm_eval/dip/ppl_8_12.csv,0.02,0
dip,ppl_ge_20,char,0.01,1.042224597930907,0.75,0.75,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,char,0.05,0.7367594957351679,0.875,0.75,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,char,0.1,0.5328009903430935,1.0,0.75,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,char,0.2,0.3720207571983342,1.0,0.875,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,token,0.01,1.042224597930907,0.75,0.75,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,token,0.05,0.7367594957351679,0.875,0.75,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,token,0.1,0.5328009903430935,1.0,0.875,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
dip,ppl_ge_20,token,0.2,0.3720207571983342,1.0,1.0,8,outputs/wm_eval/dip/ppl_ge_20.csv,0.02,0
unbiased,ppl_0_3,char,0.01,1.042224597930907,0.6029411764705882,0.45588235294117646,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,char,0.05,0.7367594957351679,0.75,0.6029411764705882,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,char,0.1,0.5328009903430935,0.9117647058823529,0.75,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,char,0.2,0.3720207571983342,0.9411764705882353,0.8382352941176471,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,token,0.01,1.042224597930907,0.6029411764705882,0.45588235294117646,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,token,0.05,0.7367594957351679,0.75,0.6617647058823529,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,token,0.1,0.5328009903430935,0.9117647058823529,0.7647058823529411,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_0_3,token,0.2,0.3720207571983342,0.9411764705882353,0.8676470588235294,68,outputs/wm_eval/unbiased/ppl_0_3.csv,0.02,0
unbiased,ppl_12_20,char,0.01,1.042224597930907,0.75,0.75,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,char,0.05,0.7367594957351679,1.0,0.75,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,char,0.1,0.5328009903430935,1.0,0.75,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,char,0.2,0.3720207571983342,1.0,1.0,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,token,0.01,1.042224597930907,0.75,0.5,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,token,0.05,0.7367594957351679,1.0,0.75,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,token,0.1,0.5328009903430935,1.0,1.0,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_12_20,token,0.2,0.3720207571983342,1.0,1.0,4,outputs/wm_eval/unbiased/ppl_12_20.csv,0.02,0
unbiased,ppl_3_5,char,0.01,1.042224597930907,0.7611940298507462,0.5074626865671642,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,char,0.05,0.7367594957351679,0.8805970149253731,0.6865671641791045,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,char,0.1,0.5328009903430935,0.9253731343283582,0.7761194029850746,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,char,0.2,0.3720207571983342,0.9402985074626866,0.8208955223880597,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,token,0.01,1.042224597930907,0.7611940298507462,0.5671641791044776,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,token,0.05,0.7367594957351679,0.8805970149253731,0.7611940298507462,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,token,0.1,0.5328009903430935,0.9253731343283582,0.8656716417910447,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_3_5,token,0.2,0.3720207571983342,0.9402985074626866,0.8656716417910447,67,outputs/wm_eval/unbiased/ppl_3_5.csv,0.02,0
unbiased,ppl_5_8,char,0.01,1.042224597930907,0.8461538461538461,0.48717948717948717,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
unbiased,ppl_5_8,char,0.05,0.7367594957351679,0.9230769230769231,0.7692307692307693,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
unbiased,ppl_5_8,char,0.1,0.5328009903430935,0.9743589743589743,0.8974358974358975,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
unbiased,ppl_5_8,char,0.2,0.3720207571983342,1.0,0.9487179487179487,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
unbiased,ppl_5_8,token,0.01,1.042224597930907,0.8461538461538461,0.6153846153846154,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
unbiased,ppl_5_8,token,0.05,0.7367594957351679,0.9230769230769231,0.8461538461538461,39,outputs/wm_eval/unbiased/ppl_5_8.csv,0.02,0
